name,country,state,city,service agency,specialization,region,funding source,cross service agreements,sector
DARPA,United States,Virginia,Arlington,DoD OSD,AI;autonomy;EW;cyber;space;materials,NCR,DoD RDTE,All services;combatant commands;IC;allies,Federal
Army Research Laboratory ARL,United States,Maryland,Adelphi,Army DEVCOM,foundational science;AI;networks;materials,Mid Atlantic,Army RDTE,DARPA;AFRL;NRL;DOE labs,Federal
DEVCOM C5ISR Center,United States,Maryland,Aberdeen Proving Ground,Army DEVCOM,sensors;EW;cyber;C5ISR systems,Mid Atlantic,Army RDTE,Joint staff;IC elements;combatant commands,Federal
DEVCOM Ground Vehicle Systems Center GVSC,United States,Michigan,Warren,Army DEVCOM,ground vehicles;autonomy;mobility;protection,Midwest,Army RDTE,USMC;OSD;industry partners,Federal
DEVCOM Armaments Center,United States,New Jersey,Picatinny Arsenal,Army DEVCOM,lethality;munitions;fire control;energetics,Northeast,Army RDTE,SOCOM;Navy;Air Force;allied armies,Federal
DEVCOM Soldier Center,United States,Massachusetts,Natick,Army DEVCOM,soldier systems;personal equipment;rations;shelters,Northeast,Army RDTE,All services;SOCOM;NATO soldier modernization,Federal
DEVCOM Chemical Biological Center,United States,Maryland,Aberdeen Proving Ground,Army DEVCOM,CBRN defense;detection;protection,Mid Atlantic,Army RDTE;joint program funds,All services;DHS;allies,Federal
Engineer Research and Development Center ERDC,United States,Mississippi,Vicksburg,Army Corps of Engineers,military engineering;civil works;geospatial;infrastructure,Southeast,USACE RDTE;civil works,Army;joint force;FEMA;civil agencies,Federal
ERDC Cold Regions Research and Engineering Laboratory,United States,New Hampshire,Hanover,Army Corps of Engineers,cold regions engineering;terrain;infrastructure,Northeast,USACE RDTE,Army;Arctic partners;other agencies,Federal
ERDC Coastal and Hydraulics Laboratory,United States,Mississippi,Vicksburg,Army Corps of Engineers,coastal processes;hydraulics;navigation,Southeast,USACE RDTE;civil works,Navy;DHS;port authorities,Federal
ERDC Environmental Laboratory,United States,Mississippi,Vicksburg,Army Corps of Engineers,environmental science;ecosystems;restoration,Southeast,USACE RDTE;civil works,DOD installations;civil agencies,Federal
US Army Medical Research and Development Command USAMRDC,United States,Maryland,Fort Detrick,Army medical,medical RDTE;infectious disease;casualty care,Mid Atlantic,Defense Health Program;Army RDTE,Defense Health Agency;NIH;allies,Federal
Walter Reed Army Institute of Research WRAIR,United States,Maryland,Silver Spring,Army medical,vaccines;infectious disease;neuroscience,Mid Atlantic,Defense Health Program;Army RDTE,DoD;NIH;international health partners,Federal
US Army Medical Research Institute of Infectious Diseases USAMRIID,United States,Maryland,Fort Detrick,Army medical,biodefense;high containment pathogen research,Mid Atlantic,Defense Health Program;Army RDTE,DHS;HHS;allied biodefense labs,Federal
US Army Research Institute of Environmental Medicine USARIEM,United States,Massachusetts,Natick,Army medical,environmental medicine;human performance;rations,Northeast,Defense Health Program;Army RDTE,All services;NATO research,Federal
US Army Aeromedical Research Laboratory USAARL,United States,Alabama,Fort Novosel,Army medical,aviation medicine;neurosensory research;human factors,Southeast,Defense Health Program;Army RDTE,Army aviation;joint aeromedical evacuation,Federal
US Naval Research Laboratory NRL,United States,District of Columbia,Washington,Navy corporate lab,space;EW;materials;plasma;ocean science,NCR,Navy RDTE;interagency funds,Navy;Marine Corps;NASA;NOAA;other services,Federal
Naval Surface Warfare Center Dahlgren Division,United States,Virginia,Dahlgren,Navy NAVSEA,weapons;directed energy;combat systems,Mid Atlantic,Navy RDTE;working capital,Army;MDA;allied navies,Federal
Naval Surface Warfare Center Crane Division,United States,Indiana,Crane,Navy NAVSEA,EW;optronics;expeditionary warfare,Midwest,Navy working capital;RDTE,SOCOM;Army;IC;allies,Federal
Naval Surface Warfare Center Carderock Division,United States,Maryland,Bethesda,Navy NAVSEA,ship design;hydrodynamics;structures,Mid Atlantic,Navy RDTE;working capital,Navy;allied navies;industry,Federal
Naval Surface Warfare Center Corona Division,United States,California,Norco,Navy NAVSEA,metrology;weapons data analytics;performance assessment,West Coast,Navy working capital;RDTE,Navy;joint programs;allied navies,Federal
Naval Surface Warfare Center Indian Head Division,United States,Maryland,Indian Head,Navy NAVSEA,energetics;explosives;EOD technologies,Mid Atlantic,Navy working capital;RDTE,SOCOM;Army;joint EOD;allies,Federal
Naval Surface Warfare Center Panama City Division,United States,Florida,Panama City,Navy NAVSEA,mine warfare;amphibious warfare;expeditionary systems,Southeast,Navy working capital;RDTE,Navy;Marine Corps;joint amphibious forces,Federal
Naval Surface Warfare Center Philadelphia Division,United States,Pennsylvania,Philadelphia,Navy NAVSEA,ship machinery;propulsion;electrical systems,Northeast,Navy working capital;RDTE,Navy;allied navies;shipbuilders,Federal
Naval Surface Warfare Center Port Hueneme Division,United States,California,Port Hueneme,Navy NAVSEA,surface combat systems;missiles;in service engineering,West Coast,Navy working capital;RDTE,Navy;MDA;allied navies,Federal
Naval Undersea Warfare Center Division Newport,United States,Rhode Island,Newport,Navy NAVSEA,undersea warfare;submarines;sonar;torpedoes,Northeast,Navy RDTE;working capital,U S Navy;allied undersea forces,Federal
Naval Undersea Warfare Center Division Keyport,United States,Washington,Keyport,Navy NAVSEA,undersea weapons;test;fleet support,Pacific Northwest,Navy working capital;RDTE,Navy;allied navies;range customers,Federal
Naval Information Warfare Center Pacific,United States,California,San Diego,Navy NAVWAR,information warfare;C4ISR;cyber;space,West Coast,Navy working capital;RDTE,Navy;joint commands;federal agencies,Federal
Naval Information Warfare Center Atlantic,United States,South Carolina,North Charleston,Navy NAVWAR,C5ISR;enterprise IT;cyber operations,Southeast,Navy working capital;RDTE,Navy;Marine Corps;joint commands;civil agencies,Federal
Naval Air Warfare Center Aircraft Division Patuxent River,United States,Maryland,Patuxent River,Navy NAVAIR,aircraft;avionics;flight test,Mid Atlantic,Navy RDTE;working capital,Navy;Marine Corps;joint aviation programs,Federal
Naval Air Warfare Center Weapons Division China Lake,United States,California,China Lake,Navy NAVAIR,weapons;missiles;weapons integration,West Coast,Navy RDTE;working capital,Navy;Air Force;allied weapons programs,Federal
Naval Air Warfare Center Weapons Division Point Mugu,United States,California,Point Mugu,Navy NAVAIR,weapons test;EW ranges;missile systems,West Coast,Navy working capital;RDTE,Navy;MDA;joint test programs,Federal
